"gameorder","game_id","lg_id","X_iscopy","year_id","date_game","seasongame","is_playoffs","team_id","fran_id","pts","elo_i","elo_n","win_equiv","opp_id","opp_fran","opp_pts","opp_elo_i","opp_elo_n","game_location","game_result","forecast","notes"
61902,"201411040TOR","NBA",0,2015,"11/4/2014",4,0,"TOR","Raptors",100,1558.7764,1567.5104,47.548847,"OKC","Thunder",88,1586.222,1577.488,"H","W",0.60292226,"NULL"
61902,"201411040TOR","NBA",1,2015,"11/4/2014",5,0,"OKC","Thunder",88,1586.222,1577.488,48.564396,"TOR","Raptors",100,1558.7764,1567.5104,"A","L",0.39707774,"NULL"
61903,"201411050BOS","NBA",0,2015,"11/5/2014",4,0,"BOS","Celtics",107,1390.2681,1386.1544,28.948267,"TOR","Raptors",110,1567.5104,1571.624,"H","L",0.39063531,"NULL"
61903,"201411050BOS","NBA",1,2015,"11/5/2014",5,0,"TOR","Raptors",110,1567.5104,1571.624,47.96862,"BOS","Celtics",107,1390.2681,1386.1544,"A","W",0.60936469,"NULL"
61904,"201411050BRK","NBA",0,2015,"11/5/2014",4,0,"BRK","Nets",91,1534.8898,1522.2559,42.85714,"MIN","Timberwolves",98,1508.1306,1520.7645,"H","L",0.67473602,"NULL"
61904,"201411050BRK","NBA",1,2015,"11/5/2014",4,0,"MIN","Timberwolves",98,1508.1306,1520.7645,42.701,"BRK","Nets",91,1534.8898,1522.2559,"A","W",0.32526398,"NULL"
61905,"201411050CHO","NBA",0,2015,"11/5/2014",5,0,"CHO","Hornets",96,1495.4562,1503.3374,40.873951,"MIA","Heat",89,1578.0277,1570.1465,"H","W",0.52506053,"NULL"
61905,"201411050CHO","NBA",1,2015,"11/5/2014",5,0,"MIA","Heat",89,1578.0277,1570.1465,47.818016,"CHO","Hornets",96,1495.4562,1503.3374,"A","L",0.47493947,"NULL"
61906,"201411050DET","NBA",0,2015,"11/5/2014",4,0,"DET","Pistons",98,1371.0433,1377.3285,28.108179,"NYK","Knicks",95,1504.0078,1497.7227,"H","W",0.45270213,"NULL"
61906,"201411050DET","NBA",1,2015,"11/5/2014",5,0,"NYK","Knicks",95,1504.0078,1497.7227,40.285061,"DET","Pistons",98,1371.0433,1377.3285,"A","L",0.54729784,"NULL"
61907,"201411050GSW","NBA",0,2015,"11/5/2014",4,0,"GSW","Warriors",121,1615.8838,1625.957,53.341755,"LAC","Clippers",104,1622.988,1612.9148,"H","W",0.6305905,"NULL"
61907,"201411050GSW","NBA",1,2015,"11/5/2014",5,0,"LAC","Clippers",104,1622.988,1612.9148,52.085495,"GSW","Warriors",121,1615.8838,1625.957,"A","L",0.3694095,"NULL"
61908,"201411050MIL","NBA",0,2015,"11/5/2014",5,0,"MIL","Bucks",86,1338.9329,1333.151,24.092131,"CHI","Bulls",95,1564.4595,1570.2413,"H","L",0.32682306,"NULL"
61908,"201411050MIL","NBA",1,2015,"11/5/2014",5,0,"CHI","Bulls",95,1564.4595,1570.2413,47.82769,"MIL","Bucks",86,1338.9329,1333.151,"A","W",0.67317694,"NULL"
61909,"201411050PHI","NBA",1,2015,"11/5/2014",5,0,"ORL","Magic",91,1337.3835,1343.2817,24.983406,"PHI","Sixers",89,1295.0255,1289.1273,"A","W",0.41779935,"NULL"
61909,"201411050PHI","NBA",0,2015,"11/5/2014",5,0,"PHI","Sixers",89,1295.0255,1289.1273,20.444416,"ORL","Magic",91,1337.3835,1343.2817,"H","L",0.58220065,"NULL"
61910,"201411050PHO","NBA",1,2015,"11/5/2014",5,0,"MEM","Grizzlies",102,1601.5613,1614.6375,52.252785,"PHO","Suns",91,1550.7885,1537.7123,"A","W",0.4296267,"NULL"
61910,"201411050PHO","NBA",0,2015,"11/5/2014",5,0,"PHO","Suns",91,1550.7885,1537.7123,44.471394,"MEM","Grizzlies",102,1601.5613,1614.6375,"H","L",0.5703733,"NULL"
61911,"201411050SAC","NBA",0,2015,"11/5/2014",5,0,"SAC","Kings",131,1459.156,1471.0381,37.494476,"DEN","Nuggets",109,1463.2131,1451.3311,"H","W",0.6346671,"NULL"
